Player_Name,Team,Age,Position,GP,MP,PTS,REB,AST,FG%,3P%,PER,WS,USG%,VORP,Salary_2024,Contract_Years_Left,Cap_Hit_Share,Age_Norm,GP_Norm,MP_Norm,PTS_Norm,REB_Norm,AST_Norm,FG%_Norm,3P%_Norm,PER_Norm,WS_Norm,USG%_Norm,VORP_Norm,Salary_2024_Norm,Contract_Years_Left_Norm,PER_per_Million,All_Star_Votes,Is_Rookie,Rising_Stars_Consecutive,Popularity_Score
Scottie Barnes,TOR,23,PF,65,32.8,19.3,7.7,5.8,0.446,0.271,17.8,3.5,27,2.3,38661750,6,0.2741968085106383,0.1904761904761904,0.7901234567901234,0.866485013623978,0.5902140672782874,0.5539568345323741,0.5,0.446,0.271,0.4531490015360983,0.2625698324022347,0.6398104265402843,0.3421052631578947,0.5661851183128428,0.8333333333333334,0.4604033702561317,0,0,0,0
Anfernee Simons,POR,25,SG,70,32.7,19.3,2.7,4.8,0.426,0.363,14.9,4.2,24.6,1.1,27678571,2,0.1963019219858156,0.2857142857142857,0.8518518518518519,0.8637602179836512,0.5902140672782874,0.1942446043165467,0.4137931034482758,0.426,0.363,0.4086021505376345,0.3016759776536313,0.5829383886255924,0.2368421052631579,0.405046262075204,0.1666666666666666,0.5383225889804788,0,0,0,0
Desmond Bane,MEM,26,SG,69,32,19.2,6.1,5.3,0.484,0.392,17.9,6.5,23.3,2.9,36725670,5,0.260465744680851,0.3333333333333333,0.8395061728395061,0.8446866485013623,0.5871559633027522,0.4388489208633093,0.4568965517241379,0.484,0.392,0.4546850998463901,0.4301675977653632,0.5521327014218009,0.3947368421052631,0.5377800712144966,0.6666666666666666,0.4873975069753662,0,0,0,0
Domantas Sabonis,SAC,28,C,70,34.7,19.1,13.9,6,0.59,0.417,22.9,10.1,21.6,4.4,42336000,4,0.3002553191489361,0.4285714285714285,0.8518518518518519,0.9182561307901907,0.5840978593272171,1,0.5172413793103449,0.59,0.417,0.5314900153609831,0.6312849162011173,0.5118483412322274,0.5263157894736842,0.6200915913413844,0.5,0.5409108087679516,0,0,0,0
Alperen Sengun,HOU,22,C,76,31.5,19.1,10.3,4.9,0.496,0.233,21.4,8.3,26.2,3.9,33944954,6,0.240744354609929,0.1428571428571428,0.925925925925926,0.8310626702997275,0.5840978593272171,0.7410071942446044,0.4224137931034483,0.496,0.233,0.5084485407066052,0.5307262569832403,0.6208530805687204,0.4824561403508772,0.4969830127524882,0.8333333333333334,0.6304324348178524,308346,0,0,0.24677195526595055
John Collins,UTA,27,PF,40,30.5,19,8.2,2,0.527,0.399,19,2.5,24.2,0.9,26580000,2,0.1885106382978723,0.3809523809523809,0.4814814814814814,0.8038147138964578,0.581039755351682,0.5899280575539567,0.1724137931034483,0.527,0.399,0.4715821812596006,0.2067039106145251,0.5734597156398104,0.219298245614035,0.3889286631144806,0.1666666666666666,0.7148231753197893,0,0,0,0
Lauri Markkanen,UTA,27,PF,47,31.4,19,5.9,1.5,0.423,0.346,15.6,2.2,24,0.7,46394100,5,0.3290361702127659,0.3809523809523809,0.5679012345679012,0.8283378746594005,0.581039755351682,0.4244604316546763,0.1293103448275862,0.423,0.346,0.4193548387096774,0.1899441340782123,0.5687203791469194,0.2017543859649122,0.6796296897824606,0.6666666666666666,0.3362496524342535,112209,0,0,0.08980182758471666
Jalen Johnson,ATL,23,SF,36,35.7,18.9,10,5,0.5,0.312,17.3,2.4,22.5,1.2,30000000,6,0.2127659574468085,0.1904761904761904,0.4320987654320987,0.9455040871934604,0.5779816513761467,0.7194244604316546,0.4310344827586207,0.5,0.312,0.445468509984639,0.2011173184357542,0.533175355450237,0.2456140350877192,0.4391049270479669,0.8333333333333334,0.5766666666666667,302367,0,0,0.24198691015255483
Cameron Johnson,BRK,28,PF,57,31.6,18.8,4.3,3.4,0.475,0.39,18.2,5.1,22.9,2.3,21057065,3,0.1493408865248227,0.4285714285714285,0.691358024691358,0.8337874659400545,0.5749235474006116,0.3093525179856115,0.293103448275862,0.475,0.39,0.4592933947772658,0.3519553072625698,0.5426540284360188,0.3421052631578947,0.3078993519310041,0.3333333333333333,0.8643179854362418,0,0,0,0
Julius Randle,MIN,30,PF,69,32.3,18.7,7.1,4.7,0.485,0.344,17.5,6.2,25,1.8,30864198,4,0.2188950212765957,0.5238095238095238,0.8395061728395061,0.8528610354223432,0.5718654434250764,0.5107913669064748,0.4051724137931035,0.485,0.344,0.4485407066052227,0.4134078212290503,0.5924170616113744,0.2982456140350877,0.4517839407727596,0.5,0.5669999913816002,0,0,0,0
Tyrese Haliburton,IND,24,PG,73,33.6,18.6,3.5,9.2,0.473,0.388,21.8,10.4,21.6,4.9,45550512,5,0.3230532765957447,0.238095238095238,0.8888888888888888,0.888283378746594,0.5688073394495413,0.2517985611510791,0.793103448275862,0.473,0.388,0.5145929339477727,0.6480446927374302,0.5118483412322274,0.5701754385964912,0.6672530540692672,0.6666666666666666,0.478589571067829,0,0,0,0
